title,number,public_data,state,deal_data,text,url
['南岸公园的狗粪泛滥'],['编号：239683'],['发布日期2020-03-21 12:59:06'],['待处理'],['等待处理：29天4小时27分'],['投入巨资建成的南岸公园随处可见的狗粪，让行人散步产生巨大不便'],http://wz.sun0769.com/political/politics/index?id=447607
['小孩预防接种预约方式宣传不到位'],['编号：239647'],['发布日期2020-03-21 09:53:28'],['待处理'],['等待处理：29天4小时27分'],['现在小孩疫苗接种只能网上预约，且预约方式一变在变，变化后宣传不到位，仅在个别偏门公众号有说明，导致几次都没有给小孩接种到，预约方式请短信宣传给各位宝妈宝爸，方便各位平常上班，只有周末有空的家长。'],http://wz.sun0769.com/political/politics/index?id=447571
['居家隔离事宜'],['编号：239644'],['发布日期2020-03-21 10:31:22'],['待处理'],['等待处理：29天4小时27分'],"['""关于优化调整湖北返莞返岗人员健康管理措施的通知""这个出台了，我们现在在隔离中的人员是否可以按这个文件执行？是否可以承认湖北的健康码？社区今天通知我还是要隔离14天，为什么要区别对待。']",http://wz.sun0769.com/political/politics/index?id=447574
['卫生脏'],['编号：239665'],['发布日期2020-03-21 11:18:29'],['待处理'],['等待处理：29天4小时27分'],['麻涌镇新基村新基村红星巷10号旁，卫生脏乱差，垃圾桶乱摆，蚊虫滋生细菌多，苍蝇特别多，住户家里到处乱飞，希望另找地方'],http://wz.sun0769.com/political/politics/index?id=447587
['噪音扰民'],['编号：239646'],['发布日期2020-03-21 10:22:43'],['待处理'],['等待处理：29天4小时27分'],['我家住在望牛墩永盛路路边，每天早上7点钟永盛路的环卫工人就开始用机器洗地，机器噪声十分大，严重影响了周边居民正常作息，这个情况持续了一个多月，周边的居民十分不满。最近疫情防控工作虽然不能怠慢，但是希望能够在时间上适当调节一下！请尽快处理！谢谢。'],http://wz.sun0769.com/political/politics/index?id=447572
['乱停乱放'],['编号：239663'],['发布日期2020-03-21 11:20:24'],['待处理'],['等待处理：29天4小时27分'],['富民北路往松山湖工业大厦这条路为双向车道，且周边属于密集型商住、工业、教育区域，人员及车辆进出较多。上下班高峰期在这条路上本来就是双向车道，很多车辆两侧都停了车（无划线停车位），给进出的人员进出很不方便。希望相应部门可实际调查一下，而且这条路通往态园大道目前是封住的，是否可以开通这样可以增加车辆的分流。'],http://wz.sun0769.com/political/politics/index?id=447589
['投诉塘厦镇自然资源分局和大坪社区就一地块监管不力和懒政'],['编号：239661'],['发布日期2020-03-21 11:21:58'],['待处理'],['等待处理：29天4小时27分'],['位于塘厦镇大坪三路附近土地，面积约1000平方米，改土地于2019年x月经塘厦招投标服务所公开招标，土地用途:农业。\r\n  目前该土地实际用途为:堆放建筑材料。严重违反契约精神。租赁期间，承租方明目张胆倾倒建筑废料。直至土地硬实，我相信大部分大坪本地村民有目共睹。\r\n  现我投诉塘厦镇自然资源分局和大坪社区没有及时制止承租方改变土地使用用途和存在懒政包庇等行为。存在包庇行为，因为该土地位于大坪农民公寓旁边，没有可能不知道承租方违反合同行为，可以说放任不管。'],http://wz.sun0769.com/political/politics/index?id=447591
['投诉小车车辆粤S6E69G'],['编号：239662'],['发布日期2020-03-21 11:20:31'],['待处理'],['等待处理：29天4小时27分'],['投诉小车车辆粤S6E69G。这车严重的危险驾驶，已经连续两天看到他这样驾驶了，在虎门南栅民昌路全程逆行，强行并线，危险驾驶。有视频为证。此路段每天人多，行人车辆，路况复杂，这样的人驾驶车安全隐患极大。'],http://wz.sun0769.com/political/politics/index?id=447590
['丽枫酒店霸占公用停车位，保安粗暴阻拦，激化矛盾'],['编号：239660'],['发布日期2020-03-21 11:24:02'],['待处理'],['等待处理：29天4小时27分'],['南城街道鸿福社区塘贝街与莞太路交叉路口，丽枫酒店保安，使用雪糕筒等工具，阻拦非酒店客户，不允许外来办事群众停车。经多次沟通无果，霸道无礼。\r\n莞太路上停车位，应当属于公共停车位，属市政，塘贝街原本停车位紧张，周边常有乱停放被抄牌现象，如此霸占，不利于资源转化。'],http://wz.sun0769.com/political/politics/index?id=447592
['麻涌镇大步村东宁正街20号养鸡臭气冲天'],['编号：239673'],['发布日期2020-03-21 11:55:15'],['待处理'],['等待处理：29天4小时27分'],['麻涌镇大步村东宁正街20号养鸡超过10年，刚开始只养了几只后面越养越多，现在有二三十只。臭气冲天，蚊子老鼠横走，平时窗户和门都不敢开。'],http://wz.sun0769.com/political/politics/index?id=447598
['疫苗预约不上，健康东莞在线app软件太差了'],['编号：239653'],['发布日期2020-03-21 11:02:26'],['待处理'],['等待处理：29天4小时27分'],['从3/2开放网上预约打疫苗，一直预约到3/21日，每个星期六10点准时预约，都是进不去系统，家里四五台手机同时预约，没有一个是可以进去的，等到过了几个小时再进去已经没有预约号了，简直浪费时间，还有明知道疫苗比较多人打，每天就几十个号，虽然是疫情影响，但是现在几千的人工厂还不是照样开工，就这点办事效率，太差了'],http://wz.sun0769.com/political/politics/index?id=447582
['截污管网工程多次挖断自来水管'],['编号：239659'],['发布日期2020-03-21 11:24:44'],['待处理'],['等待处理：29天4小时27分'],['大岭山镇大沙村截污管网工程，多次挖断居民自来水管，导致居民用水十分不便，而且时常发生在中午，傍晚用水煮饭时分，最近更是两日之内，挖断三次。施工前没有做好勘测和图纸规划的吗？'],http://wz.sun0769.com/political/politics/index?id=447593
